name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Медвежка,54.870277,70.436485,640,133.0,73.09,48.0,31.4,39.7,103.8,78.2
Новоивановка,53.882401,69.696236,143,159.0,7.8,8.0,9.5,17.9,72.8,60.5
Берёзовка,53.5643554,69.3276584,28,231.0,23.89,61.0,10.1,18.9,69.5,59.7
Горькое,53.630962,69.152756,490,211.0,31.68,41.0,11.5,22.2,71.3,60.5
Летовочное,53.735115,68.980431,541,223.0,36.98,9.0,12.4,23.2,75.5,61.8
Любимовка,53.789822,69.179337,169,181.0,30.86,14.0,10.4,20.4,73.0,60.2
Подлесное,53.714844,68.990486,255,218.0,37.24,4.0,12.4,23.2,75.5,61.8
Трудовая Нива,54.663868,69.194862,65,142.0,11.88,46.0,41.8,54.2,110.7,82.1
Мичурино,53.3954853,66.6237321,406,195.0,24.27,49.0,43.9,59.2,116.4,80.9
Вознесенка,54.67017,68.81662,445,111.0,3.1,9.0,46.8,63.2,109.1,81.7
Надёжка,54.62022,68.811348,316,107.0,2.16,5.0,41.9,57.2,107.0,80.5
Ольшанка,55.009148,69.102615,379,98.0,0.27,9.0,56.3,70.5,112.1,82.5
Соколовка,55.11763,69.203369,2432,103.0,0.46,18.0,56.9,71.0,111.6,81.9
Большая Малышка,55.096394,69.227661,939,97.0,0.89,10.0,56.9,71.0,111.6,81.9
Коктерек,54.489746,69.461533,176,130.0,37.17,33.0,19.1,26.3,102.6,77.2
Григорьевка,54.626225,69.545738,33,137.0,34.17,41.0,27.7,36.5,107.4,79.9
Трудовое,54.552261,69.486176,706,138.0,34.38,42.0,27.7,36.5,107.4,79.9
Кенжегалы,54.540993,69.564445,109,130.0,39.31,34.0,18.2,24.9,101.6,76.6
Аралагаш,54.342682,69.172279,324,129.0,34.78,31.0,13.9,21.4,93.5,72.2
Рублёвка,54.270718,69.143616,617,131.0,38.4,29.0,14.4,22.1,94.1,72.6
Кременчуг,53.897041,69.267227,143,158.0,31.45,-6.0,9.9,19.6,74.4,61.1
Сарыбай,54.0371175,69.1737805,9,128.0,39.98,-7.0,3.5,18.5,78.1,63.3
Асаново,54.853539,69.452156,1231,140.0,21.23,34.0,48.9,61.5,112.0,82.3
Явленка,54.3462508,68.4566996,5928,133.0,0.7,33.0,27.5,41.5,101.5,77.5
Бирликское,53.041672,66.721931,791,179.0,0.67,28.0,45.1,54.0,119.5,78.4
Ефимовка,53.149876,66.773178,383,183.0,0.77,38.0,45.4,53.6,118.7,78.3
Токсан би,52.962101,66.622246,561,185.0,0.43,23.0,43.0,53.7,118.6,78.8
Нежинка,53.059357,66.739822,1206,184.0,1.15,36.0,44.8,54.1,118.0,78.8
Старобелка,52.982792,66.829201,202,241.0,9.21,89.0,48.8,54.3,120.9,78.0
Ивановка,54.631046,69.990372,642,136.0,61.8,42.0,22.8,30.0,102.9,77.2
Полтавка,54.502052,69.781807,807,138.0,53.67,42.0,17.7,24.6,99.6,75.4
Черкасское,54.368376,69.7677017,698,137.0,40.9,2.0,14.6,21.1,95.2,73.0
Власовка,54.199375,69.603462,619,138.0,25.15,3.0,11.7,18.9,85.8,67.6
Киялы,54.200649,69.649261,1705,138.0,24.0,3.0,11.7,18.9,85.8,67.6
Шагалалы,54.1781318,69.5230735,1113,136.0,26.22,1.0,11.9,18.8,86.1,67.9
Астраханка,54.511875,69.232262,735,140.0,24.05,40.0,24.3,34.1,103.7,78.0
Бескудук,54.047737,68.087105,273,165.0,11.58,4.0,27.9,40.4,102.5,75.7
Волошинка,53.889011,67.978714,589,176.0,11.13,6.0,27.5,39.4,103.1,75.1
Орнек,54.143215,67.791847,162,134.0,1.05,22.0,38.2,55.2,107.9,78.8
Ясновка,53.981533,68.216652,613,165.0,0.42,5.0,23.0,34.2,99.8,74.4
Николаевка,54.205807,67.804298,1312,129.0,2.0,17.0,40.6,57.8,107.3,79.0
Спасовка,54.349106,67.721245,135,145.0,18.67,31.0,44.3,60.9,107.4,79.2
Петровка,54.302021,68.221336,1122,123.0,3.57,9.0,36.4,53.1,104.2,78.7
Чириковка,54.399506,68.616119,844,119.0,1.58,16.0,33.1,47.8,103.6,78.8
Тарангул,54.1698,68.429443,489,147.0,13.49,34.0,24.1,37.0,100.4,76.3
Корнеевка,54.00486,68.421883,1969,164.0,7.06,8.0,6.7,25.3,94.6,71.8
Булак,53.870007,68.391533,390,177.0,12.18,-14.0,15.2,24.0,91.2,69.4
Ильинка,54.2030973,68.0059602,944,143.0,1.37,39.0,36.4,53.4,106.2,78.9
Заградовка,53.844063,68.610909,829,168.0,22.14,-24.0,13.3,22.7,83.5,65.0
Володарское,52.661465,66.595833,578,195.0,0.49,18.0,39.5,49.0,113.6,76.4
Жарколь,52.5745729,66.3971613,14,227.0,6.89,49.0,37.2,49.2,111.5,76.3
Целинное,52.6059,66.490768,648,201.0,0.28,19.0,37.0,48.8,111.4,76.0
Виноградовка,55.2200765,69.086532,515,134.0,13.08,40.0,59.9,71.4,110.8,81.5
